model,n_train,acc_predicted,asymptote_c,a,b
ExtraTrees,2,0.8419149103370985,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,3,0.8558527098324729,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,5,0.8712952145037512,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,10,0.8889999506705247,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,15,0.8978654352350883,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,20,0.9035701359822268,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,30,0.9108660229001094,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,40,0.9155607297994757,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,50,0.9189495634796616,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,60,0.9215649098903528,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,70,0.923673944065073,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,80,0.9254284382063671,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,90,0.9269222796120219,0.9712960430843138,0.1572154897994335,0.28111611855653484
ExtraTrees,99,0.9280954098135243,0.9712960430843138,0.1572154897994335,0.28111611855653484
RandomForest,2,0.8384937437492092,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,3,0.8520424339012042,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,5,0.8671548532906442,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,10,0.8846339913454532,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,15,0.8934584634876038,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,20,0.89916595639255,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,30,0.906502526441182,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,40,0.9112476738930275,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,50,0.9146858506010164,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,60,0.9173472183429876,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,70,0.919498689733185,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,80,0.9212922822641785,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,90,0.9228222412690388,0.9708203884796534,0.15916331233091954,0.2664042424260737
RandomForest,99,0.9240256217742081,0.9708203884796534,0.15916331233091954,0.2664042424260737
HistGradBoost,2,0.8354166990772625,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,3,0.8486853232768107,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,5,0.8635612479484767,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,10,0.880882489413896,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,15,0.8896819655500633,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,20,0.895395570984484,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,30,0.9027684556127363,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,40,0.9075557580643215,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,50,0.9110344577764348,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,60,0.9137333335131705,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,70,0.9159192524352571,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,80,0.9177445073728296,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,90,0.9193036721989677,0.9704018186921789,0.1611036112293939,0.25518845589691835
HistGradBoost,99,0.9205314921807627,0.9704018186921789,0.1611036112293939,0.25518845589691835
LogReg,2,0.8142590702096011,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,3,0.8250322597837306,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,5,0.8375352379826395,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,10,0.8527679564140455,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,15,0.8608386390058135,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,20,0.8662189980238368,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,30,0.8733457028106508,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,40,0.8780967545256118,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,50,0.8816167012894643,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,60,0.884389892750401,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,70,0.8866648330922123,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,80,0.8885852433436642,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,90,0.8902413861583767,0.9677696935222341,0.17384409096235307,0.1794555329608141
LogReg,99,0.8915561497368865,0.9677696935222341,0.17384409096235307,0.1794555329608141
DeepMLP,2,0.8173302458234557,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,3,0.8233151462129165,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,5,0.8304998896285424,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,10,0.839650196198453,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,15,0.8447007659685439,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,20,0.8481554573708587,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,30,0.8528499902409742,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,40,0.8560611452358652,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,50,0.8584856753707377,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,60,0.8604247398146602,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,70,0.862035356136033,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,80,0.8634095263557399,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,90,0.8646056709037526,0.9603017774448104,0.15381459999717498,0.10546454231733338
DeepMLP,99,0.8655627748961061,0.9603017774448104,0.15381459999717498,0.10546454231733338
1D-CNN,2,0.8184224758916102,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,3,0.8418116544903481,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,5,0.8660750655139056,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,10,0.891598120440078,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,15,0.9033870267034929,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,20,0.9105996484019027,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,30,0.9193763106255889,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,40,0.9247459982776677,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,50,0.9284810238180273,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,60,0.9312800904205266,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,70,0.9334829523548523,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,80,0.9352777415779753,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,90,0.936778356383938,0.9659636861277064,0.19817892646819793,0.4256855856153351
1D-CNN,99,0.9379387691284587,0.9659636861277064,0.19817892646819793,0.4256855856153351
BiLSTM,2,0.8202264259613092,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,3,0.837457810858386,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,5,0.8563373669200228,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,10,0.8776684203841691,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,15,0.888204903597483,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,20,0.8949271664241961,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,30,0.9034521315994624,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,40,0.9088910484881927,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,50,0.9127925043501893,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,60,0.9157885141575416,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,70,0.9181945619814975,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,80,0.9201890884410943,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,90,0.9218820757322053,0.9680710339794691,0.18272945384948758,0.3056275698048342
BiLSTM,99,0.9232081259333947,0.9680710339794691,0.18272945384948758,0.3056275698048342
Transformer,2,0.8209393198026209,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,3,0.8636292561554189,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,5,0.8990076235235877,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,10,0.9267845459781774,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,15,0.9364695426301629,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,20,0.9414478242393245,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,30,0.9465604784974953,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,40,0.9491884848440164,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,50,0.9507974808457114,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,60,0.9518874257422802,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,70,0.9526763307999756,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,80,0.9532747352397272,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,90,0.95374477571744,0.9578438562036001,0.25934082567114175,0.9216790826315019
Transformer,99,0.954089498281539,0.9578438562036001,0.25934082567114175,0.9216790826315019
