model,n_train,test_person,acc,auc
ExtraTrees,1,P01,0.8290830168204015,0.9005702226482732
RandomForest,1,P01,0.8285404232230059,0.9033736406867167
HistGradBoost,1,P01,0.8095496473141617,0.8774951657084445
LogReg,1,P01,0.7639717851329354,0.8283514418083193
ExtraTrees,1,P02,0.7569180683667933,0.8496533413632792
RandomForest,1,P02,0.8057514921323928,0.8717516053771259
HistGradBoost,1,P02,0.7759088442756376,0.8358843100244571
LogReg,1,P02,0.7959848073792729,0.8390522215775416
ExtraTrees,1,Noah,0.8491076257436452,0.907137938085691
RandomForest,1,Noah,0.8426176311519741,0.9024518226198059
HistGradBoost,1,Noah,0.8404542996214169,0.9057206452325606
LogReg,1,Noah,0.8053001622498648,0.8724565704333436
ExtraTrees,1,P02,0.8442756375474769,0.9005314942798878
RandomForest,1,P02,0.8486163863266414,0.9005835175569379
HistGradBoost,1,P02,0.8252848616386327,0.8856516129664039
LogReg,1,P02,0.7552902875746066,0.8262826491966381
ExtraTrees,1,Noah,0.8004326663061114,0.8812911467379935
RandomForest,1,Noah,0.7733910221741482,0.8618685936835276
HistGradBoost,1,Noah,0.7896160086533262,0.8795900427538258
LogReg,1,Noah,0.8231476473769606,0.8971475512329038
ExtraTrees,1,P01,0.8046663049376017,0.9226112946951158
RandomForest,1,P01,0.7710255018990776,0.9073500074192539
HistGradBoost,1,P01,0.8149755832881173,0.9179159669407473
LogReg,1,P01,0.8198589256646771,0.8708672989912171
ExtraTrees,2,P02,0.834508952794357,0.898133527227147
RandomForest,2,P02,0.8497015735214325,0.9030849191252256
HistGradBoost,2,P02,0.8404774823657081,0.8975765721434326
LogReg,2,P02,0.7986977753662506,0.8594502424896749
ExtraTrees,2,P01,0.8491589799240369,0.9269474363534016
RandomForest,2,P01,0.8377645143787303,0.9207570700777962
HistGradBoost,2,P01,0.8355941399891481,0.9159139460773346
LogReg,2,P01,0.8171459576776994,0.8762433138391458
ExtraTrees,2,Noah,0.8420767982693348,0.9027879302118416
RandomForest,2,Noah,0.8280151433207139,0.8955551533755308
HistGradBoost,2,Noah,0.8301784748512709,0.9046617887975105
LogReg,2,Noah,0.8269334775554353,0.8840405303448745
DeepMLP,1,P01,0.7932718393922952,0.8747223146856283
1D-CNN,1,P01,0.781334780249593,0.869255956807392
BiLSTM,1,P01,0.7639717851329354,0.8464214301059275
Transformer,1,P01,0.6988605534454694,0.7750023017486207
DeepMLP,1,P02,0.7563754747693977,0.8420626181362377
1D-CNN,1,P02,0.7997829625610418,0.8709446654231929
BiLSTM,1,P02,0.7509495387954422,0.8092553890099902
Transformer,1,P02,0.7455236028214867,0.8204578879425506
DeepMLP,1,Noah,0.8301784748512709,0.8837204131451883
1D-CNN,1,Noah,0.7577068685776095,0.8841686190343563
BiLSTM,1,Noah,0.8274743104380746,0.8921579182650337
Transformer,1,Noah,0.7171444023796647,0.8654247189643753
DeepMLP,1,P02,0.8095496473141617,0.8686712060945191
1D-CNN,1,P02,0.7585458491589799,0.8929638868289176
BiLSTM,1,P02,0.7802495930548019,0.8583076773260823
Transformer,1,P02,0.791101465002713,0.8996294548441789
DeepMLP,1,Noah,0.813953488372093,0.8793670817934789
1D-CNN,1,Noah,0.7149810708491077,0.8356523794700639
BiLSTM,1,Noah,0.7879935100054083,0.8642053180857512
Transformer,1,Noah,0.6084369929691725,0.8008936031774637
DeepMLP,1,P01,0.8355941399891481,0.913297260801103
1D-CNN,1,P01,0.7943570265870863,0.8762095984097868
BiLSTM,1,P01,0.8014107433532285,0.8858993699110698
Transformer,1,P01,0.6299511665762344,0.8183542615400232
DeepMLP,2,P02,0.8024959305480195,0.8780359608580468
1D-CNN,2,P02,0.8160607704829083,0.897659373119496
BiLSTM,2,P02,0.8084644601193706,0.8804417577423712
Transformer,2,P02,0.8464460119370592,0.9114799084124237
DeepMLP,2,P01,0.8193163320672816,0.8883002707800685
1D-CNN,2,P01,0.8155181768855128,0.8916419376237927
BiLSTM,2,P01,0.8241996744438416,0.8947310023111917
Transformer,2,P01,0.7786218122626153,0.8833355760627586
DeepMLP,2,Noah,0.8301784748512709,0.8856753163771858
1D-CNN,2,Noah,0.8236884802595997,0.8928846437406819
BiLSTM,2,Noah,0.8280151433207139,0.8914300225390219
Transformer,2,Noah,0.8377501352082206,0.8839649954711312
